id,programa,fecha_instalacion,latitud,longitud,colonia,alcaldia
AP00001,Internet_Publico,2020-01-15,19.432608,-99.133209,Centro,Cuauhtemoc
AP00002,WiFi_CDMX,2020-02-20,19.427050,-99.127571,Doctores,Cuauhtemoc
AP00003,Conectividad_Publica,2020-03-10,19.434200,-99.138600,Roma_Norte,Cuauhtemoc
AP00004,Internet_Publico,2020-04-05,19.412000,-99.162000,Del_Valle,Benito_Juarez
AP00005,WiFi_CDMX,2020-05-12,19.359900,-99.069000,Coyoacan,Coyoacan
AP00006,Conectividad_Publica,2020-06-01,19.487000,-99.117000,Lindavista,Gustavo_A_Madero
AP00007,Internet_Publico,2020-06-15,19.395000,-99.157000,San_Angel,Alvaro_Obregon
AP00008,WiFi_CDMX,2020-07-01,19.500000,-99.145000,Industrial,Azcapotzalco
AP00009,Conectividad_Publica,2020-07-20,19.455000,-99.200000,Polanco,Miguel_Hidalgo
AP00010,Internet_Publico,2020-08-01,19.300000,-99.140000,Tlalpan,Tlalpan
AP00011,WiFi_CDMX,2021-01-12,19.421500,-99.165000,Narvarte,Benito_Juarez
AP00012,Internet_Publico,2021-02-18,19.435900,-99.144500,Juarez,Cuauhtemoc
AP00013,Conectividad_Publica,2021-03-22,19.446700,-99.152300,San_Rafael,Cuauhtemoc
AP00014,WiFi_CDMX,2021-04-30,19.403200,-99.171000,Escandon,Miguel_Hidalgo
AP00015,Internet_Publico,2021-05-14,19.416800,-99.176200,Mixcoac,Benito_Juarez
AP00016,Conectividad_Publica,2021-06-25,19.356700,-99.162900,Coapa,Tlalpan
AP00017,WiFi_CDMX,2021-07-08,19.391100,-99.136500,Portales,Benito_Juarez
AP00018,Internet_Publico,2021-08-19,19.472300,-99.142100,Claveria,Azcapotzalco
AP00019,Conectividad_Publica,2021-09-25,19.484500,-99.135700,Vallejo,Gustavo_A_Madero
AP00020,WiFi_CDMX,2021-10-30,19.401200,-99.195500,Lomas,Miguel_Hidalgo
AP00021,Internet_Publico,2022-01-05,19.425600,-99.170200,Condesa,Cuauhtemoc
AP00022,WiFi_CDMX,2022-02-11,19.418300,-99.158700,Hipodromo,Cuauhtemoc
AP00023,Conectividad_Publica,2022-03-17,19.439900,-99.157800,Tabacalera,Cuauhtemoc
AP00024,Internet_Publico,2022-04-21,19.377800,-99.145600,Villa_Coapa,Tlalpan
AP00025,WiFi_CDMX,2022-05-29,19.370400,-99.173400,Pedregal,Alvaro_Obregon
AP00026,Conectividad_Publica,2022-06-30,19.463200,-99.178900,Anahuac,Miguel_Hidalgo
AP00027,Internet_Publico,2022-07-14,19.451900,-99.162100,Veronica_Anzures,Miguel_Hidalgo
AP00028,WiFi_CDMX,2022-08-22,19.410700,-99.151100,Alamos,Benito_Juarez
AP00029,Conectividad_Publica,2022-09-19,19.389500,-99.158800,Chimalistac,Alvaro_Obregon
AP00030,Internet_Publico,2022-10-31,19.492200,-99.156400,Tepeyac,Gustavo_A_Madero
AP00031,WiFi_CDMX,2023-01-08,19.431500,-99.136900,Centro_Historico,Cuauhtemoc
AP00032,Conectividad_Publica,2023-02-14,19.437700,-99.150200,Obrera,Cuauhtemoc
AP00033,Internet_Publico,2023-03-20,19.420200,-99.125500,Merced,Venustiano_Carranza
AP00034,WiFi_CDMX,2023-04-25,19.372900,-99.119800,Ajusco,Coyoacan
AP00035,Conectividad_Publica,2023-05-30,19.460100,-99.190100,Argentina,Miguel_Hidalgo
AP00036,Internet_Publico,2023-06-18,19.478800,-99.110900,Martin_Carrera,Gustavo_A_Madero
AP00037,WiFi_CDMX,2023-07-27,19.367500,-99.140300,San_Francisco_Culhuacan,Coyoacan
AP00038,Conectividad_Publica,2023-08-15,19.405500,-99.168800,Vertiz_Narvarte,Benito_Juarez
AP00039,Internet_Publico,2023-09-23,19.448800,-99.137600,Santa_Maria_la_Ribera,Cuauhtemoc
AP00040,WiFi_CDMX,2023-10-29,19.493500,-99.175400,Pueblo_Azteca,Gustavo_A_Madero
